lam,pi,max_width,overturns_frontier_tight,overturns_frontier_typical,overturns_cross_tier
0.05,0.05,0.0025000000000000005,False,False,False
0.05,0.1,0.005000000000000001,False,False,False
0.05,0.2,0.010000000000000002,True,False,False
0.05,0.5,0.025,True,False,False
0.1,0.05,0.005000000000000001,False,False,False
0.1,0.1,0.010000000000000002,True,False,False
0.1,0.2,0.020000000000000004,True,False,False
0.1,0.5,0.05,True,True,False
0.2,0.05,0.010000000000000002,True,False,False
0.2,0.1,0.020000000000000004,True,False,False
0.2,0.2,0.04000000000000001,True,True,False
0.2,0.5,0.1,True,True,True
0.3,0.05,0.015,True,False,False
0.3,0.1,0.03,True,True,False
0.3,0.2,0.06,True,True,False
0.3,0.5,0.15,True,True,True
