model,pi,dose,mean_lift,lambda_q95,lambda_max,violation_rate,spillover_mad,envelope_headroom_corr,lambda_hat_cal,coverage_h2r
logreg,0.05,4,0.0064510416818689496,0.06765191696589848,0.1049456874714779,0.07222222222222223,0.009487360949839397,0.9278015279559211,0.06457446696669766,0.6666666666666666
logreg,0.1,4,0.006191400975355264,0.07465744556586483,0.13240007536886803,0.13333333333333333,0.012953598632019954,0.9234606580200785,0.07153179129019946,0.3333333333333333
logreg,0.2,4,0.002590370020055914,0.07352417366211123,0.12341899962121906,0.24444444444444444,0.014744056026995767,0.9581801492772825,0.07692527188407526,0.3333333333333333
mlp,0.05,4,0.3090949897827843,0.9959693428625582,0.9998867437545994,0.02777777777777778,0.15162419330360608,0.9786072967492211,1.0,0.6666666666666666
mlp,0.1,4,0.3091108826876496,0.994205083761107,0.9998720632050048,0.07222222222222223,0.16993009148128477,0.979592636143155,1.0,1.0
mlp,0.2,4,0.30459156931617637,0.9945029695247134,0.9999180756935829,0.0625,0.17809132973151173,0.9767393340065277,1.0,1.0
rf,0.05,4,0.3881481481481482,1.0,1.0,0.0,0.031556530214424956,0.9932520605095932,1.0,1.0
rf,0.1,4,0.3991203703703704,1.0,1.0,0.0,0.033940329218106996,0.9955252089503472,1.0,1.0
rf,0.2,4,0.38694907407407403,1.0,1.0,0.0,0.038552083333333334,0.9885550229945507,1.0,1.0
logreg,0.1,1,0.0016472499184381705,0.020587849465918132,0.03604901786140193,0.008333333333333333,0.003461105157523804,0.9104766491341801,0.019008604341058104,0.3333333333333333
logreg,0.1,16,0.02009059744703952,0.22614084416704183,0.39670736005705187,0.26944444444444443,0.041895633593641436,0.9352475868071194,0.2249584010119057,0.3333333333333333
mlp,0.1,1,0.19326595516601436,0.9624937494913464,0.9984536931988908,0.10555555555555556,0.1347345398967864,0.9863757803423966,1.0,1.0
mlp,0.1,16,0.34391564692410187,0.9992017738306648,0.9999996950926855,0.005555555555555556,0.19771134180982544,0.9799702767357694,1.0,1.0
rf,0.1,1,0.2560648148148148,0.7400786516853932,0.8400000000000004,0.0,0.02909259259259259,0.9972445953543484,0.8157502718376224,1.0
rf,0.1,16,0.4067314814814815,1.0,1.0,0.0,0.04677469135802469,0.9962098157779574,1.0,1.0
