model,seed,dose,mix,mean_lift_leaked,lambda_q95,violation_rate
Qwen2.5-0.5B,42,1,0,-0.012792423432175482,0.18860093735041228,0.43333333333333335
Qwen2.5-0.5B,42,1,4,-0.004911942637732457,0.12272110019785348,0.5
Qwen2.5-0.5B,42,1,20,-0.008486261459377899,0.16012083990429685,0.5
Qwen2.5-0.5B,42,4,0,0.06448740506699929,0.6838999883283083,0.2222222222222222
Qwen2.5-0.5B,42,4,4,0.059574094008550876,0.6480515689470203,0.26666666666666666
Qwen2.5-0.5B,42,4,20,0.13052228127037072,0.7556319889330028,0.18888888888888888
Qwen2.5-1.5B,42,1,0,0.0029173180564410267,0.5827772823179201,0.4111111111111111
Qwen2.5-1.5B,42,1,4,-0.012486185764686923,0.3773375607960073,0.4888888888888889
Qwen2.5-1.5B,42,1,20,0.0051493346484171075,0.345749258602136,0.36666666666666664
Qwen2.5-1.5B,42,4,0,0.06207425641930767,0.7297454138656438,0.17777777777777778
Qwen2.5-1.5B,42,4,4,0.0861449987317125,0.8711028716227223,0.16666666666666666
Qwen2.5-1.5B,42,4,20,0.21129440621783335,0.975847024321205,0.03333333333333333
Qwen2.5-1.5B,43,1,0,0.0004526981359554699,0.2725673754413456,0.3888888888888889
Qwen2.5-1.5B,43,1,4,-0.004339247766054333,0.20845888303727472,0.45555555555555555
Qwen2.5-1.5B,43,1,20,0.0014510062316225685,0.2858729920468822,0.3888888888888889
Qwen2.5-1.5B,43,4,0,0.07615224326857262,0.565623488519989,0.17777777777777778
Qwen2.5-1.5B,43,4,4,0.09250846007424925,0.6941352084426746,0.1
Qwen2.5-1.5B,43,4,20,0.2637714354838762,0.9876330463917773,0.022222222222222223
Qwen2.5-1.5B,44,1,0,0.013272022021313513,0.5427310712738269,0.3
Qwen2.5-1.5B,44,1,4,-0.011208541981048044,0.24999736906218292,0.45555555555555555
Qwen2.5-1.5B,44,1,20,-0.003948448805345421,0.28563029765465753,0.4444444444444444
Qwen2.5-1.5B,44,4,0,0.027861006640725675,0.6677314078986895,0.28888888888888886
Qwen2.5-1.5B,44,4,4,0.07323302146461275,0.7652522866007169,0.13333333333333333
Qwen2.5-1.5B,44,4,20,0.23100443970825937,0.9823262736315368,0.03333333333333333
