claim,margin_skill,gamma_star_unstratified,gamma_star_stratified_high_only,pi,n_items,status
chronos-bolt-base > chronos-bolt-small,0.0001,0.0011243820190429688,0.0011243820190429688,0.1,17,EXPLORATORY_PILOT
chronos-bolt-small > chronos-bolt-tiny,0.0081,0.0770263671875,0.0770263671875,0.1,17,EXPLORATORY_PILOT
chronos-bolt-tiny > moment-1-small,0.0094,0.08821487426757812,0.08821487426757812,0.1,17,EXPLORATORY_PILOT
moment-1-small > chronos-t5-small,0.0128,0.11429786682128906,0.11429786682128906,0.1,17,EXPLORATORY_PILOT
chronos-t5-small > chronos-t5-base,0.011,0.09764480590820312,0.09764480590820312,0.1,17,EXPLORATORY_PILOT
chronos-bolt-base > chronos-bolt-small,0.0001,0.00028514862060546875,0.0002918243408203125,0.5,17,EXPLORATORY_PILOT
chronos-bolt-small > chronos-bolt-tiny,0.0081,0.020963668823242188,0.021378517150878906,0.5,17,EXPLORATORY_PILOT
chronos-bolt-tiny > moment-1-small,0.0094,0.02414703369140625,0.02472686767578125,0.5,17,EXPLORATORY_PILOT
moment-1-small > chronos-t5-small,0.0128,0.03215980529785156,0.032996177673339844,0.5,17,EXPLORATORY_PILOT
chronos-t5-small > chronos-t5-base,0.011,0.02707195281982422,0.027910232543945312,0.5,17,EXPLORATORY_PILOT
