lever,x,margin,gamma_star,gamma_star_simple
fresh_fraction,0.0,0.01,0.058823585510253906,
fresh_fraction,0.05,0.01,0.059128761291503906,
fresh_fraction,0.1,0.01,0.05999565124511719,
fresh_fraction,0.15,0.01,0.06037712097167969,
fresh_fraction,0.2,0.01,0.06080150604248047,
fresh_fraction,0.25,0.01,0.061003684997558594,
fresh_fraction,0.3,0.01,0.062213897705078125,
fresh_fraction,0.35,0.01,0.06191825866699219,
fresh_fraction,0.4,0.01,0.06284713745117188,
fresh_fraction,0.45,0.01,0.06350517272949219,
fresh_fraction,0.5,0.01,0.06598377227783203,
fresh_fraction,0.55,0.01,0.06635856628417969,
fresh_fraction,0.6,0.01,0.06776142120361328,
fresh_fraction,0.65,0.01,0.07234859466552734,
fresh_fraction,0.7,0.01,0.07838821411132812,
fresh_fraction,0.75,0.01,0.0809488296508789,
fresh_fraction,0.8,0.01,0.09220695495605469,
fresh_fraction,0.85,0.01,0.12496185302734375,
fresh_fraction,0.9,0.01,0.1771984100341797,
fresh_fraction,0.0,0.03,0.16831588745117188,
fresh_fraction,0.05,0.03,0.16978168487548828,
fresh_fraction,0.1,0.03,0.1705760955810547,
fresh_fraction,0.15,0.03,0.1711139678955078,
fresh_fraction,0.2,0.03,0.1730642318725586,
fresh_fraction,0.25,0.03,0.17146015167236328,
fresh_fraction,0.3,0.03,0.17515945434570312,
fresh_fraction,0.35,0.03,0.1764392852783203,
fresh_fraction,0.4,0.03,0.17789268493652344,
fresh_fraction,0.45,0.03,0.18014144897460938,
fresh_fraction,0.5,0.03,0.18358612060546875,
fresh_fraction,0.55,0.03,0.18599605560302734,
fresh_fraction,0.6,0.03,0.19256973266601562,
fresh_fraction,0.65,0.03,0.1971912384033203,
fresh_fraction,0.7,0.03,0.2098989486694336,
fresh_fraction,0.75,0.03,0.223388671875,
fresh_fraction,0.8,0.03,0.25830745697021484,
fresh_fraction,0.85,0.03,0.3205833435058594,
fresh_fraction,0.9,0.03,0.4531059265136719,
draws_per_item,2.0,0.03,,0.03500000000000003
draws_per_item,5.0,0.03,,0.136
draws_per_item,10.0,0.03,0.17849349975585938,0.16350000000000003
draws_per_item,20.0,0.03,0.1719198226928711,0.15375
draws_per_item,50.0,0.03,0.15544605255126953,0.13909999999999978
draws_per_item,200.0,0.03,0.17119789123535156,0.15504999999999963
